SOURCE_DB,SOURCE_SCHEMA,SOURCE_TABLE_ID,SOURCE_TABLE,SOURCE_COLUMN_ID,SOURCE_COLUMN,TARGET_DB,TARGET_SCHEMA,TARGET_TABLE_ID,TARGET_TABLE,TARGET_COLUMN_ID,TARGET_COLUMN,RELATION_TYPE,EFFECTTYPE
default,SMTMODS,11,SMTMODS.L_AGRE_CREDITLINE,13,CUST_ID,default,default,4,SNSX_TEMP1,120,CUST_ID,direct,insert
default,SMTMODS,11,SMTMODS.L_AGRE_CREDITLINE,14,FACILITY_AMT,default,default,4,SNSX_TEMP1,52,SUM(J.FACILITY_AMT),direct,insert
default,SMTMODS,20,SMTMODS.L_PUBL_RATE,24,CCY_RATE,default,default,4,SNSX_TEMP1,122,FACILITY_AMT,direct,insert
default,SMTMODS,20,SMTMODS.L_PUBL_RATE,24,CCY_RATE,default,default,4,SNSX_TEMP1,52,SUM(J.FACILITY_AMT),direct,insert
default,SMTMODS,57,SMTMODS.L_AGRE_LOAN_CONTRACT,61,CUST_ID,default,default,4,SNSX_TEMP1,120,CUST_ID,direct,insert
default,SMTMODS,57,SMTMODS.L_AGRE_LOAN_CONTRACT,62,CONTRACT_AMT,default,default,4,SNSX_TEMP1,122,FACILITY_AMT,direct,insert

Error log:

find orphan column(10500) near: I_DATE(7,26)
find orphan column(10500) near: I_DATE(12,19)
find orphan column(10500) near: I_DATE(13,21)
find orphan column(10500) near: I_DATE(2,9)
find orphan column(10500) near: I_DATE(2,9)
find orphan column(10500) near: I_DATE(2,9)
find orphan column(10500) near: I_DATE(28,21)
find orphan column(10500) near: I_DATE(19,8)
find orphan column(10500) near: I_DATE(38,21)
find orphan column(10500) near: I_DATE(43,9)
find orphan column(10500) near: I_DATE(52,21)
default,SMTMODS,22,SMTMODS.L_PUBL_RATE,23,BASIC_CCY,default,default,4,T_10_2,112,K020002,direct,insert
default,SMTMODS,22,SMTMODS.L_PUBL_RATE,23,BASIC_CCY,default,default,4,T_10_2,113,K020003,direct,insert
default,SMTMODS,22,SMTMODS.L_PUBL_RATE,24,DATA_DATE,default,default,4,T_10_2,112,K020002,direct,insert
default,SMTMODS,22,SMTMODS.L_PUBL_RATE,25,JBJ,default,default,4,T_10_2,115,K020005,direct,insert
default,SMTMODS,22,SMTMODS.L_PUBL_RATE,27,CCY_RATE,default,default,4,T_10_2,116,K020006,direct,insert
default,SMTMODS,22,SMTMODS.L_PUBL_RATE,28,YNQ_LPR,default,default,4,T_10_2,117,K020007,direct,insert
default,SMTMODS,22,SMTMODS.L_PUBL_RATE,29,WNQ_LPR,default,default,4,T_10_2,118,K020008,direct,insert
default,SMTMODS,22,SMTMODS.L_PUBL_RATE,30,I_DATE,default,default,4,T_10_2,119,K020009,direct,insert
default,SMTMODS,22,SMTMODS.L_PUBL_RATE,30,I_DATE,default,default,4,T_10_2,14,DIS_DATA_DATE,direct,insert
default,SMTMODS,84,SMTMODS.L_PUBL_ORG_BRA,85,ORG_NUM,default,default,4,T_10_2,111,K020001,direct,insert
default,SMTMODS,84,SMTMODS.L_PUBL_ORG_BRA,87,FIN_LIN_NUM,default,default,4,T_10_2,111,K020001,direct,insert

Error log:

find orphan column(10500) near: I_DATE(62,20)
find orphan column(10500) near: I_DATE(58,18)
find orphan column(10500) near: I_DATE(64,21)
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,36,FIN_LIN_NUM,default,default,4,T_1_1,5,A010001,direct,insert
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,36,FIN_LIN_NUM,default,default,4,T_1_1,7,A010003,direct,insert
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,37,ORG_NUM,default,default,4,T_1_1,5,A010001,direct,insert
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,37,ORG_NUM,default,default,4,T_1_1,6,A010002,direct,insert
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,38,ID_NO,default,default,4,T_1_1,8,A010004,direct,insert
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,39,ORG_NAM,default,default,4,T_1_1,9,A010005,direct,insert
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,40,BANK_CD,default,default,4,T_1_1,10,A010006,direct,insert
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,41,LEADER_NAME,default,default,4,T_1_1,21,A010017,direct,insert
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,42,fzr_id,default,default,4,T_1_1,22,A010018,direct,insert
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,44,XYJGBS,default,default,4,T_1_1,13,A010009,direct,insert
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,45,REGION_CD,default,default,4,T_1_1,17,A010013,direct,insert
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,47,BEGAN_TIME,default,default,4,T_1_1,19,A010015,direct,insert
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,48,ORG_ADD,default,default,4,T_1_1,20,A010016,direct,insert
default,SMTMODS,33,SMTMODS.L_PUBL_ORG_BRA,49,LEADER_TEL,default,default,4,T_1_1,23,A010019,direct,insert

Error log:

find orphan column(10500) near: I_DATE(106,20)
find orphan column(10500) near: I_DATE(92,18)
find orphan column(10500) near: I_DATE(93,18)
find orphan column(10500) near: I_DATE(120,22)
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,39,FIN_LIN_NUM,default,default,4,T_1_1,5,A010001,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,39,FIN_LIN_NUM,default,default,4,T_1_1,7,A010003,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,40,ORG_NUM,default,default,4,T_1_1,30,A010022,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,40,ORG_NUM,default,default,4,T_1_1,5,A010001,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,40,ORG_NUM,default,default,4,T_1_1,6,A010002,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,41,ID_NO,default,default,4,T_1_1,8,A010004,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,42,ORG_NAM,default,default,4,T_1_1,9,A010005,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,43,LEADER_NAME,default,default,4,T_1_1,21,A010017,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,44,fzr_id,default,default,4,T_1_1,22,A010018,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,46,BANK_CD,default,default,4,T_1_1,10,A010006,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,49,XYJGBS,default,default,4,T_1_1,13,A010009,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,50,REGION_CD,default,default,4,T_1_1,17,A010013,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,52,BEGAN_TIME,default,default,4,T_1_1,19,A010015,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,53,ORG_ADD,default,default,4,T_1_1,20,A010016,direct,insert
default,SMTMODS,36,SMTMODS.L_PUBL_ORG_BRA,54,LEADER_TEL,default,default,4,T_1_1,23,A010019,direct,insert

Error log:

find orphan column(10500) near: I_DATE(127,20)
find orphan column(10500) near: I_DATE(98,18)
find orphan column(10500) near: I_DATE(99,18)
find orphan column(10500) near: I_DATE(141,22)
default,SMTMODS,16,SMTMODS.L_PUBL_ORG_BRA,17,UP_ORG_NUM,default,default,4,T_1_2,6,A020002,direct,insert
default,SMTMODS,16,SMTMODS.L_PUBL_ORG_BRA,19,FIN_LIN_NUM,default,default,4,T_1_2,5,A020001,direct,insert
default,SMTMODS,16,SMTMODS.L_PUBL_ORG_BRA,19,FIN_LIN_NUM,default,default,4,T_1_2,6,A020002,direct,insert
default,SMTMODS,16,SMTMODS.L_PUBL_ORG_BRA,20,ORG_NUM,default,default,4,T_1_2,5,A020001,direct,insert

Error log:

find orphan column(10500) near: I_DATE(17,18)
find orphan column(10500) near: I_DATE(18,18)
find orphan column(10500) near: I_DATE(38,22)
default,default,123,M_DICT_CODETABLE,126,GB_CODE,default,default,4,T_1_3,366,A030005,direct,insert
default,default,65,VIEW_L_PUBL_ORG_BRA,66,ORG_NUM,default,default,4,T_1_3,363,A030002,direct,insert
default,default,65,VIEW_L_PUBL_ORG_BRA,68,FIN_LIN_NUM,default,default,4,T_1_3,363,A030002,direct,insert
default,SMTMODS,103,SMTMODS.L_PUBL_TELLER,104,EMP_ID,default,default,4,T_1_3,362,A030001,direct,insert
default,SMTMODS,103,SMTMODS.L_PUBL_TELLER,105,WORK_DATE,default,default,4,T_1_3,380,A030019,direct,insert
default,SMTMODS,103,SMTMODS.L_PUBL_TELLER,107,I_DATE,default,default,4,T_1_3,389,A030028,direct,insert
default,SMTMODS,103,SMTMODS.L_PUBL_TELLER,107,I_DATE,default,default,4,T_1_3,390,DIS_DATA_DATE,direct,insert
default,SMTMODS,103,SMTMODS.L_PUBL_TELLER,109,TELLER_NUM,default,default,4,T_1_3,384,A030023,direct,insert
default,SMTMODS,103,SMTMODS.L_PUBL_TELLER,111,AUTH_LV,default,default,4,T_1_3,386,A030025,direct,insert
default,SMTMODS,103,SMTMODS.L_PUBL_TELLER,299,DEPARTMENTD,default,default,4,T_1_3,371,A030010,direct,insert
default,SMTMODS,103,SMTMODS.L_PUBL_TELLER,300,POST_NUM,default,default,4,T_1_3,377,A030016,direct,insert
